Prompt,Classification
How did the 2024 U.S. election reshape global trade policies?,GK_current_affairs
How did the 2008 financial crisis alter global bond markets?,GK_economy
What’s the role of neural interfaces in advancing prosthetics in 2025?,GK_tech
Translate ‘Stars whisper secrets’ from English to Arabic.,Translation
How can I manage anxiety when dealing with family expectations?,Chat_emotional_support
Solve the equation x² + 3x + 2 = 0 over real numbers.,Math
What’s in this sketch of a floating sky island with bioluminescent flora?,Image Gen / Vision
Who’s driving AI regulation in the European Union as of July 2025?,GK_current_affairs
How does fluid dynamics explain the aerodynamics of a cheetah’s sprint?,GK_science
Condense a 15-page report on Arctic ice melt into 200 words.,Summarization
How did the 2023 tech mergers affect data privacy laws globally?,GK_current_affairs
How does deforestation in the Amazon impact global carbon cycles?,GK_environment
Describe the contents of a digital art piece showing an underwater metropolis.,Image Gen / Vision
"Find the eigenvalues of the matrix [[2, 1], [1, 2]].",Math
"Find the eigenvalues of the matrix [[2, 1], [1, 2]].",Math
Build a real-time chat feature for a social media app using Node.js and WebSocket.,Code_web_dev
Explain this C++ code for a binary search tree traversal.,Code Explanation / Debug
Fix this JavaScript code causing an infinite loop: [function loop(data): ...].,Code Explanation / Debug
Train a neural network for image classification using PyTorch.,Code_aiml
Train a neural network for image classification using PyTorch.,Code_aiml
Why does my responsive grid fail in Safari on mobile devices?,Code_htmlcssjs
How do I fix lazy-loaded images breaking in Chrome’s incognito mode?,Code_htmlcssjs
Tell a tale of a mythical creature facing an identity crisis in a post-apocalyptic wasteland.,Chat_story
What’s a pivotal moment in chess history from the 1990s?,GK_sports
How would a philosopher approach designing a sustainable urban jungle?,Miscellaneous
What’s a pivotal moment in chess history from the 1990s?,GK_sports
How is synthetic biology transforming agriculture as of mid-2025?,GK_tech
How can I manage anxiety when dealing with family expectations?,Chat_emotional_support
What can I do to handle stress from financial strain?,Chat_emotional_support
How does blockchain technology impact healthcare data security?,GK_tech
TLDR of a 500-word review on quantum computing advancements.,Summarization
Create a Python script to automate email filtering by keywords.,Code_scripting
TLDR of a 500-word review on quantum computing advancements.,Summarization
Who dominated cricket in South Asia during 2024?,GK_sports
Fix this GitLab CI pipeline failing at the build stage.,Code_devops
"Summarize the key points of a 2,000-word article on universal basic income.",Summarization
How did the 2008 financial crisis alter global bond markets?,GK_economy
"Classify this tweet as sarcastic, neutral, or sincere based on context.",Classification
What’s the ecological impact of deep-sea mining in the Clarion-Clipperton Zone?,GK_environment
Who’s driving AI regulation in the European Union as of July 2025?,GK_current_affairs
What themes in ‘1984’ reflect dystopian fears of surveillance?,GK_literature
What’s the economic impact of automation in the logistics sector?,GK_economy
How did trade tariffs reshape manufacturing in the 2020s?,GK_economy
Condense a 15-page report on Arctic ice melt into 200 words.,Summarization
Describe a unique cultural festival in Southeast Asia’s Mekong Delta.,GK_geography
How does blockchain technology impact healthcare data security?,GK_tech
What’s a little-known trivia tidbit about the history of cryptography?,Chat_casual
Describe the contents of a digital art piece showing an underwater metropolis.,Image Gen / Vision
What’s driving cryptocurrency adoption in Southeast Asia in 2025?,GK_economy
Share an unusual fact about Victorian-era fashion that’s rarely discussed.,Chat_casual
Solve the equation x² + 3x + 2 = 0 over real numbers.,Math
"Find the eigenvalues of the matrix [[2, 1], [1, 2]].",Math
Should I relocate abroad considering cultural adaptation challenges?,Chat_advice
What’s an obscure fact about black holes that would surprise most astronomers?,Chat_casual
What impact did AI ethics policies have on China’s tech sector in 2025?,GK_politics
How did ‘One Hundred Years of Solitude’ impact magical realism?,GK_literature
"Find the eigenvalues of the matrix [[2, 1], [1, 2]].",Math
Solve the equation x² + 3x + 2 = 0 over real numbers.,Math
Who’s driving AI regulation in the European Union as of July 2025?,GK_current_affairs
Solve the equation x² + 3x + 2 = 0 over real numbers.,Math
What’s a little-known trivia tidbit about the history of cryptography?,Chat_casual
Is this email phishing or legitimate based on its headers?,Classification
How did data privacy laws affect tech companies in the EU during 2024?,GK_politics
Design an authentication service for a telehealth app.,Code_system_design
How can I structure a Redis database for real-time event logging?,Code_database
Debug this TensorFlow loss function failing to converge.,Code_aiml
Fix this JavaScript code causing an infinite loop: [function loop(data): ...].,Code Explanation / Debug
What’s the impact of the 2025 climate summit on renewable energy adoption?,GK_current_affairs
Explain this Python code for merge sort: [def merge_sort(arr): ...].,Code Explanation / Debug
"Summarize the key points of a 2,000-word article on universal basic income.",Summarization
Fix this JavaScript code causing an infinite loop: [function loop(data): ...].,Code Explanation / Debug
Describe the contents of a digital art piece showing an underwater metropolis.,Image Gen / Vision
Fix this navigation lag in my iOS app built with React Native.,Code_app_dev
How did immigration reform shape voter dynamics in the U.S. in 2023?,GK_politics
Classify this review as positive or negative based on its tone.,Classification
Explain this binary tree traversal implementation in Python.,Code_data_structures
Should I pursue a PhD given a competitive academic job market and limited funding?,Chat_advice
Why does my MySQL JOIN query run slowly with indexed tables?,Code_database
Translate ‘The journey is the reward’ from English to Mandarin.,Translation
What’s the impact of the 2025 climate summit on renewable energy adoption?,GK_current_affairs
What’s the thermodynamic basis for aurora borealis displays?,GK_science
I’m disheartened by a creative block—any tips to spark inspiration?,Chat_emotional_support
What’s an obscure fact about black holes that would surprise most astronomers?,Chat_casual
Why does my linked list deletion fail for edge cases in C++?,Code_data_structures
Translate ‘Stars whisper secrets’ from English to Arabic.,Translation
How do you say ‘Break the mold’ in Japanese?,Translation
How do I implement push notifications in a Flutter app for Android?,Code_app_dev
What tectonic forces shaped the Great Barrier Reef’s structure?,GK_geography
Train a neural network for image classification using PyTorch.,Code_aiml
Should I pursue a PhD given a competitive academic job market and limited funding?,Chat_advice
Why does my responsive grid fail in Safari on mobile devices?,Code_htmlcssjs
Design an authentication service for a telehealth app.,Code_system_design
How can I optimize insertion in a hash map for large datasets?,Code_data_structures
I’m disheartened by a creative block—any tips to spark inspiration?,Chat_emotional_support
How does fluid dynamics explain the aerodynamics of a cheetah’s sprint?,GK_science
What tectonic forces shaped the Great Barrier Reef’s structure?,GK_geography
Describe the contents of a digital art piece showing an underwater metropolis.,Image Gen / Vision
Is this email phishing or legitimate based on its headers?,Classification
Create a story about a rogue AI uncovering a technological sabotage in a Martian colony.,Chat_story
How was the Amazon basin formed through geological activity?,GK_geography
Design a MongoDB schema for a social media analytics platform.,Code_database
What’s the latest quantum computing breakthrough as of July 2025?,GK_tech
How did ‘One Hundred Years of Solitude’ impact magical realism?,GK_literature
Solve the differential equation y'' + 4y = sin(x) over real numbers.,Math
How do I implement push notifications in a Flutter app for Android?,Code_app_dev
Compute the integral of sin(x)cos(x) with respect to x from 0 to π.,Math
Solve the equation x² + 3x + 2 = 0 over real numbers.,Math
Solve the equation x² + 3x + 2 = 0 over real numbers.,Math
Debug this TensorFlow loss function failing to converge.,Code_aiml
Fix this Keras data pipeline issue for time-series forecasting.,Code_aiml
What role did ‘Ulysses’ play in shaping modernist narrative techniques?,GK_literature
Explain this C++ code for a binary search tree traversal.,Code Explanation / Debug
TLDR of a 500-word review on quantum computing advancements.,Summarization
Build a message queue system for an e-learning platform.,Code_system_design
Explain this C++ code for a binary search tree traversal.,Code Explanation / Debug
What’s the political fallout of the 2025 trade tariffs in Latin America?,GK_politics
Write a Python script to automate renaming files based on metadata.,Code_scripting
What geological processes formed the Himalayan peaks in South Asia?,GK_geography
Fix this navigation lag in my iOS app built with React Native.,Code_app_dev
I’m feeling overwhelmed about work deadlines—any advice to cope?,Chat_emotional_support
"Find the eigenvalues of the matrix [[2, 1], [1, 2]].",Math
Why does my Xamarin app crash when accessing GPS on Android?,Code_app_dev
What role did ‘Ulysses’ play in shaping modernist narrative techniques?,GK_literature
Explain this Python code for merge sort: [def merge_sort(arr): ...].,Code Explanation / Debug
Should I pursue a PhD given a competitive academic job market and limited funding?,Chat_advice
Explain this C++ code for a binary search tree traversal.,Code Explanation / Debug
"Summarize the themes of a 1,000-word essay on AI ethics.",Summarization
Should I pursue a PhD given a competitive academic job market and limited funding?,Chat_advice
How did ‘One Hundred Years of Solitude’ impact magical realism?,GK_literature
What’s the political fallout of the 2025 trade tariffs in Latin America?,GK_politics
I’m disheartened by a creative block—any tips to spark inspiration?,Chat_emotional_support
Solve the differential equation y'' + 4y = sin(x) over real numbers.,Math
Translate ‘The journey is the reward’ from English to Mandarin.,Translation
How do you say ‘Break the mold’ in Japanese?,Translation
Solve the equation x² + 3x + 2 = 0 over real numbers.,Math
Compute the integral of sin(x)cos(x) with respect to x from 0 to π.,Math
Compute the integral of sin(x)cos(x) with respect to x from 0 to π.,Math
How can I modify A* for real-time pathfinding in a game?,Code_algorithms
Adapt Dijkstra’s algorithm for weighted graphs in Python.,Code_algorithms
Why does my user authentication in Django return a CORS issue?,Code_web_dev
What geological processes formed the Himalayan peaks in South Asia?,GK_geography
How did ‘One Hundred Years of Solitude’ impact magical realism?,GK_literature
Design a MongoDB schema for a social media analytics platform.,Code_database
Solve the equation x² + 3x + 2 = 0 over real numbers.,Math
What’s wrong with my animated transitions in Vue causing lag?,Code_htmlcssjs
What’s the role of neural interfaces in advancing prosthetics in 2025?,GK_tech
Solve the equation x² + 3x + 2 = 0 over real numbers.,Math
What’s the best approach to launching a startup in a volatile tech industry?,Chat_advice
Compute the integral of sin(x)cos(x) with respect to x from 0 to π.,Math
Tell a tale of a mythical creature facing an identity crisis in a post-apocalyptic wasteland.,Chat_story
How does Arctic ice melt affect polar bear migration patterns?,GK_environment
Tell me something quirky about migratory birds that isn’t in standard biology texts.,Chat_casual
