"Prompt","Classification"
Write a Python script to scrape weather data from a website and store it in a JSON file",Code_scripting"
What is the capital of Madagascar?",GK_geography"
I'm having trouble sleeping at night. Any suggestions?",Chat_advice"
Implement a binary search tree in C++ with insert and delete operations",Code_data_structures"
Explain the process of photosynthesis in plants",GK_science"
Calculate the area of a circle with radius 7.5 cm",Math"
Translate 'Hello, how are you?' to French",Translation"
Debug this JavaScript code that's not working: function add(a,b) { return a + b }",Code Explanation / Debug"
What were the major events of the American Civil War?",GK_history"
Tell me about your favorite childhood memory",Chat_casual"
Create a REST API using Node.js and Express for a book library system",Code_web_dev"
Who won the 2022 FIFA World Cup?",GK_sports"
I'm feeling anxious about my job interview tomorrow",Chat_emotional_support"
Write a SQL query to find the top 10 highest-paid employees",Code_database"
What is quantum entanglement?",GK_science"
Solve the system of equations: 2x + 3y = 7, x - y = 1",Math"
Summarize the plot of Romeo and Juliet in 3 sentences",Summarization"
Build a mobile app for tracking daily habits using React Native",Code_app_dev"
What are the current inflation rates in major economies?",GK_economy"
Write a poem about autumn leaves",Chat_story"
Create a Docker container for a Python Flask application",Code_devops"
Who is the current Prime Minister of India?",GK_current_affairs"
How do I apologize to someone I've hurt?",Chat_advice"
Implement merge sort algorithm in Java",Code_algorithms"
What causes earthquakes?",GK_science"
Find the derivative of f(x) = 3x³ + 2x² - 5x + 1",Math"
Translate this Spanish text: 'Me gusta mucho la música'",Translation"
My code is throwing a NullPointerException, can you help?",Code Explanation / Debug"
What are the major rivers in Africa?",GK_geography"
I just got promoted at work! I'm so excited",Chat_casual"
Design a database schema for an e-commerce platform",Code_database"
Who wrote the novel '1984'?",GK_literature"
I'm dealing with a difficult breakup",Chat_emotional_support"
Create a responsive website layout using CSS Grid",Code_htmlcssjs"
What is the greenhouse effect?",GK_environment"
Calculate the compound interest on $1000 at 5% for 3 years",Math"
Classify these animals: lion, penguin, shark, eagle",Classification"
Build a machine learning model to predict house prices",Code_aiml"
What happened during the French Revolution?",GK_history"
Tell me a funny joke to cheer me up",Chat_casual"
Write a bash script to backup files automatically",Code_scripting"
Which countries are in the European Union?",GK_politics"
I'm worried about my elderly parent living alone",Chat_advice"
Implement a linked list in Python with basic operations",Code_data_structures"
What is the difference between renewable and non-renewable energy?",GK_environment"
Solve for the roots of x² - 4x + 4 = 0",Math"
Summarize the key points of this 10-page research paper",Summarization"
Debug this CSS that's not centering my div properly",Code Explanation / Debug"
What are the Seven Wonders of the Ancient World?",GK_history"
I feel like I'm not good enough at my job",Chat_emotional_support"
Create a chatbot using Python and natural language processing",Code_aiml"
Who are the current world leaders?",GK_current_affairs"
Write a short story about time travel",Chat_story"
Design a microservices architecture for a banking system",Code_system_design"
What is the theory of relativity?",GK_science"
Calculate the probability of rolling two dice and getting a sum of 7",Math"
Translate 'Good morning' to 10 different languages",Translation"
My Python loop is running infinitely, what's wrong?",Code Explanation / Debug"
What are the major mountain ranges in Asia?",GK_geography"
How do I make new friends as an adult?",Chat_advice"
Build a todo list app using React and Redux",Code_web_dev"
Who won the Nobel Prize in Literature last year?",GK_literature"
I'm excited about my upcoming vacation",Chat_casual"
Write a script to automate file organization on my computer",Code_scripting"
What is the current state of climate change?",GK_environment"
I'm struggling with depression and need support",Chat_emotional_support"
Implement a hash table with collision handling",Code_data_structures"
What are the major stock market indices?",GK_economy"
Find the integral of sin(x) dx",Math"
Categorize these fruits: apple, banana, orange, grape",Classification"
Create a mobile game using Unity and C#",Code_app_dev"
What was the impact of the Industrial Revolution?",GK_history"
Tell me about your dream vacation destination",Chat_casual"
Set up a CI/CD pipeline using Jenkins",Code_devops"
Who are the current Olympic champions in swimming?",GK_sports"
I'm nervous about public speaking",Chat_advice"
Debug this SQL query that's returning incorrect results",Code Explanation / Debug"
What is artificial intelligence?",GK_tech"
